k,n,xi,q0,replication_factor,row_scale,coordinate,coordinate_type,E_S,E_bar_S,posterior_variance,ratio_S_bar_S,ratio_S_bar_S_log_se,ratio_S_bar_S_lower_95,ratio_S_bar_S_upper_95,ratio_S_posterior_variance,ratio_S_posterior_variance_log_se,ratio_S_posterior_variance_lower_95,ratio_S_posterior_variance_upper_95,acceptance_S,acceptance_bar_S_envelope,maximum_log_envelope_error,coordinate_role,path,simulation_seed
16,128,2048,8,8,22.62189205172724,16,prior-scale curvature,1.8094373811434646e-05,8.880442670610572e-05,1.002792940994047,0.2037553135872072,0.0273844269537833,0.1931073697002994,0.2149903852942221,1.804397804545571e-05,0.0249401592741456,1.7183150655719323e-05,1.894793045980298e-05,0.33992,0.0323944766121597,-1.1977954534076482e-10,j = k,xi,8172030
16,128,4096,8,8,31.996093511552317,1,large likelihood curvature,6.411675322660516e-06,3.222015297618596e-05,0.0002607122143481,0.1989958063637798,0.0200095343381346,0.1913425091345667,0.206955219357564,0.0245929226549318,0.0188153090163104,0.0237025040557273,0.0255167911073646,0.31525,0.0229721770180827,-8.560123818618654e-11,j = 1,xi,8172030
16,128,4096,8,8,31.996093511552317,16,prior-scale curvature,9.037877862556236e-06,4.228920254868145e-05,0.9993541713184262,0.2137159680926162,0.0340678386390025,0.1999115298249543,0.2284736406037084,9.04371855538718e-06,0.0326328365632642,8.483389497046974e-06,9.641057426106e-06,0.31525,0.0229721770180827,-8.560123818618654e-11,j = k,xi,8172030
16,16,8,8,1,3.741657386773941,1,large likelihood curvature,0.0043124924266511,0.0178749927920247,0.1752971134335608,0.2412584148607425,0.0148284531911046,0.2343474519823809,0.2483731837011577,0.0246010464301545,0.0133426190654167,0.0239660308494439,0.0252528876917747,0.66956,0.5334784394688689,-4.952125460723026e-11,j = 1,n,8172030
16,16,8,8,1,3.741657386773941,16,prior-scale curvature,0.0048236413588324,0.0212424189377128,1.000346041883487,0.2270758981345972,0.016368283377107,0.2199065050975078,0.2344790277612317,0.0048219727542984,0.0139230617047935,0.0046921642121745,0.0049553724447382,0.66956,0.5334784394688689,-4.952125460723026e-11,j = k,n,8172030
16,32,8,8,2,2.6457513110645907,1,large likelihood curvature,0.0039973592184477,0.0156775997160409,0.1498177183445416,0.2549726546696946,0.0150907009182213,0.2475415703757568,0.2626268167024534,0.0266814850914688,0.0135549581718114,0.025981952557081,0.027399851690217,0.65477,0.5101233988501819,-1.885727438567456e-10,j = 1,n,8172030
16,32,8,8,2,2.6457513110645907,16,prior-scale curvature,0.0045165325878766,0.0190897130009133,0.9980891713064236,0.2365951016477058,0.0166643683057613,0.2289922330932303,0.2444503962756591,0.0045251794305762,0.0144356719746272,0.0043989387227742,0.0046550429931872,0.65477,0.5101233988501819,-1.885727438567456e-10,j = k,n,8172030
16,64,8,8,4,1.8708286933869709,1,large likelihood curvature,0.0038635245194395,0.0149165610206211,0.1375090796405864,0.2590090647635525,0.0147560349024485,0.2516253391417635,0.2666094593593162,0.0280965048238106,0.0133053406523508,0.0273732625445592,0.0288388562389806,0.64538,0.4929483735168415,-9.34471220298771e-10,j = 1,n,8172030
16,64,8,8,4,1.8708286933869709,16,prior-scale curvature,0.0042378761559612,0.0175753800246863,0.9933709296985228,0.241125719615094,0.0160994015198359,0.2336358317774513,0.2488557179674368,0.0042661568093677,0.0138285606284231,0.0041520799376364,0.0043833679012631,0.64538,0.4929483735168415,-9.34471220298771e-10,j = k,n,8172030
16,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0037604564608376,0.0142328281531283,0.1314157874103856,0.2642100656580473,0.0145388122944576,0.2567873775834522,0.2718473137268727,0.0286149520916731,0.0129956923886578,0.0278952890841384,0.0293531814902157,0.64219,0.4842403963023403,-1.0966256268765278e-11,j = 1,n,8172030
